"","Location","New_suspect","Cumulative_suspect","New_confirmed","Cumulative_confirmed","New_death","Cumulative_death","Date","MediaCloudCount","MobilityWuhan","Mechanistic_pred","Search_index_coronavirus_symptom","Search_index_how_many_degree_is_fever","Search_index_symptom_of_fever"
"1","beijing",0,0,0,0,0,0,2020-01-10,0,1.16,5.54883394477399,1.875,333.75,371.25
"35","beijing",0,0,0,0,0,0,2020-01-11,0,1.16,6.65860073372876,1.875,328.125,586.875
"69","beijing",0,0,0,0,0,0,2020-01-12,0,1.16,8.03046138135159,1.875,345,586.875
"103","beijing",0,0,0,0,0,0,2020-01-13,0,1.16,9.58964436640086,1.875,341.25,622.5
"137","beijing",0,0,0,0,0,0,2020-01-14,0,1.16,11.3164729727603,1.875,324.375,646.875
"171","beijing",0,0,0,0,0,0,2020-01-16,0,1.16,15.909018514286,1.875,318.75,577.5
"205","beijing",0,0,0,0,0,0,2020-01-17,0,1.16,18.8597388630743,1.875,326.25,528.75
"239","beijing",0,0,0,0,0,0,2020-01-18,0,1.16,22.5660451107255,1.875,275.625,371.25
"273","beijing",0,0,0,0,0,0,2020-01-19,0,1.16,26.6477831018742,1.875,322.5,581.25
"307","beijing",0,0,3,5,0,0,2020-01-20,0,1.16,31.5331181792091,1.875,498.75,601.875
"341","beijing",0,0,5,10,0,0,2020-01-21,0,1.16,37.3102020309313,1.875,750,720
"375","beijing",0,0,4,14,0,0,2020-01-22,0,1.16,44.6307274948096,1.875,825,828.75
"409","beijing",0,0,12,26,0,0,2020-01-23,0,1.16,51.9606977824238,1.875,1155,1008.75
"443","beijing",0,0,10,36,0,0,2020-01-24,0,1.16,60.4051572708607,1.875,922.5,663.75
"477","beijing",0,0,15,51,0,0,2020-01-25,0,1.16,65.0079347047668,1.875,1140,873.75
"511","beijing",0,0,16,67,0,0,2020-01-26,0,1.16,64.8048709944475,431.25,1291.875,1123.125
"545","beijing",0,0,13,80,1,1,2020-01-27,0,1.16,66.4175746473328,361.875,1196.25,1246.875
"579","beijing",0,0,16,96,0,1,2020-01-28,0,1.16,68.5733556650259,345,1228.125,1080
"613","beijing",0,0,16,112,0,1,2020-01-29,0,1.16,70.8873374802933,401.25,1224.375,1196.25
"647","beijing",0,0,20,132,0,1,2020-01-30,0,1.16,73.2178477370983,461.25,1166.25,1175.625
